Owner Name,County,Address,Price,Sold Date,Agent Phone
N/A,Davidson,"2521  KANLOW  DR, ANTIOCH, TN","$350,000",12/26/2025,N/A
N/A,Davidson,"542   SOUTHGATE  AVE, NASHVILLE, TN","$493,000",12/26/2025,N/A
N/A,Davidson,"1100  3RD  AVE S, NASHVILLE, TN","$1,000,000",12/29/2025,N/A
N/A,Davidson,"304  ELBERTA  ST, NASHVILLE, TN","$510,000",12/29/2025,N/A
N/A,Davidson,"106   IRETON  ALY, ANTIOCH, TN","$483,380",12/29/2025,N/A
N/A,Davidson,"102  NORTHCREST  CT, NASHVILLE, TN","$239,000",12/29/2025,N/A
N/A,Davidson,"561   WATSONWOOD  DR, NASHVILLE, TN","$862,000",12/29/2025,N/A
N/A,Davidson,"900  S LANE  CT, BRENTWOOD, TN","$610,000",12/29/2025,N/A
N/A,Davidson,"406  OLD TOWNE  DR, BRENTWOOD, TN","$495,000",12/29/2025,N/A
N/A,Davidson,"3318  DUMAS  DR, NASHVILLE, TN","$738,000",12/29/2025,N/A
N/A,Davidson,"844   LEWIS  WAY, ANTIOCH, TN","$450,000",12/29/2025,N/A
N/A,Davidson,"213  JOANN  CT, NASHVILLE, TN","$285,000",12/29/2025,N/A
N/A,Davidson,"332   STONEHAUS  CIR, ANTIOCH, TN","$460,965",12/29/2025,N/A
N/A,Davidson,"9700   WILD ROSE  LOOP, ANTIOCH, TN","$540,000",12/29/2025,N/A
N/A,Davidson,"9708   WILD ROSE  LOOP, ANTIOCH, TN","$405,000",12/29/2025,N/A
N/A,Davidson,"1436  BELL TRACE  DR, ANTIOCH, TN","$345,000",12/29/2025,N/A
N/A,Davidson,"1712 B  CARVELL  AVE, NASHVILLE, TN","$785,000",12/29/2025,N/A
N/A,Davidson,"3929  BRADLEY  CT, ANTIOCH, TN","$288,000",12/29/2025,N/A
N/A,Davidson,"3020  HARLIN  DR, NASHVILLE, TN","$378,000",12/29/2025,N/A
N/A,Davidson,"362  GLENROSE  AVE, NASHVILLE, TN","$258,000",12/30/2025,N/A
N/A,Davidson,"1435  WINDING CREEK  DR, NOLENSVILLE, TN","$349,900",12/30/2025,N/A
N/A,Davidson,"828   LEWIS  WAY, ANTIOCH, TN","$460,000",12/30/2025,N/A
N/A,Davidson,"325  MELPAR  DR, NASHVILLE, TN","$337,000",12/30/2025,N/A
N/A,Davidson,"9704   WILD ROSE  LOOP, ANTIOCH, TN","$480,000",12/30/2025,N/A
N/A,Davidson,"949  CENTURY OAK  DR, NASHVILLE, TN","$669,400",12/30/2025,N/A
N/A,Davidson,"248  DELVIN  DR, ANTIOCH, TN","$480,000",12/30/2025,N/A
N/A,Davidson,"410   ROSEDALE  AVE, NASHVILLE, TN","$290,000",12/30/2025,N/A
N/A,Davidson,"254   SAVOY  LOOP, NOLENSVILLE, TN","$397,275",12/30/2025,N/A
N/A,Davidson,"612   21ST  AVE N, NASHVILLE, TN","$400,000",12/23/2025,N/A
N/A,Davidson,"6666  BROOKMONT  TER, NASHVILLE, TN","$324,500",12/23/2025,N/A
N/A,Davidson,"2727 C  WESTWOOD  DR, NASHVILLE, TN","$747,000",12/23/2025,N/A
N/A,Davidson,"1001 A  WOODMONT  BLVD, NASHVILLE, TN","$1,142,000",12/23/2025,N/A
N/A,Davidson,"2929   SHARON HILL  CIR, NASHVILLE, TN","$1,250,000",12/26/2025,N/A
N/A,Davidson,"1829   AMESBURY  LN, NASHVILLE, TN","$625,000",12/26/2025,N/A
N/A,Davidson,"419   ACKLEN PARK  DR, NASHVILLE, TN","$895,000",12/29/2025,N/A
N/A,Davidson,"1032  NUNNERY  LN, NASHVILLE, TN","$549,000",12/29/2025,N/A
N/A,Davidson,"3808  TULANE  CT, NASHVILLE, TN","$705,000",12/29/2025,N/A
N/A,Davidson,"949  HARPETH BEND  DR, NASHVILLE, TN","$399,900",12/29/2025,N/A
N/A,Davidson,"100  BRAXTON HILL  CT, NASHVILLE, TN","$930,000",12/29/2025,N/A
N/A,Davidson,"3176  PARTHENON  AVE, NASHVILLE, TN","$945,000",12/29/2025,N/A
N/A,Davidson,"841  HIGHLAND CREST  DR, NASHVILLE, TN","$544,800",12/29/2025,N/A
N/A,Davidson,"1402  SIGLER  ST, NASHVILLE, TN","$940,000",12/29/2025,N/A
N/A,Davidson,"2531  ASHWOOD  AVE, NASHVILLE, TN","$1,199,000",12/29/2025,N/A
N/A,Davidson,"3710  HOBBS  RD, NASHVILLE, TN","$815,000",12/29/2025,N/A
N/A,Davidson,"225  CARGILE  LN, NASHVILLE, TN","$1,225,000",12/29/2025,N/A
N/A,Davidson,"760   SUMMIT OAKS  CT, NASHVILLE, TN","$946,000",12/29/2025,N/A
N/A,Davidson,"2946  PRIMROSE  CIR, NASHVILLE, TN","$575,000",12/29/2025,N/A
N/A,Davidson,"1116  SPARTA  RD, NASHVILLE, TN","$1,099,000",12/29/2025,N/A
N/A,Davidson,"3002  BLAKEMORE  AVE, NASHVILLE, TN","$750,000",12/29/2025,N/A
N/A,Davidson,"8300  SAWYER BROWN  RD, NASHVILLE, TN","$322,000",12/29/2025,N/A
N/A,Davidson,"3000  HILLSBORO  PIKE, NASHVILLE, TN","$191,850",12/29/2025,N/A
N/A,Davidson,"7737  POPLAR RIDGE  DR, NASHVILLE, TN","$450,000",12/29/2025,N/A
N/A,Davidson,"3513  TRIMBLE  RD, NASHVILLE, TN","$1,225,000",12/29/2025,N/A
N/A,Davidson,"752 A  LYNWOOD  AVE, NASHVILLE, TN","$817,000",12/29/2025,N/A
N/A,Davidson,"3737  WEST END  AVE, NASHVILLE, TN","$805,000",12/30/2025,N/A
N/A,Davidson,"5025  HILLSBORO  PIKE, NASHVILLE, TN","$227,000",12/30/2025,N/A
N/A,Davidson,"1904  LOMBARDY  AVE, NASHVILLE, TN","$1,275,000",12/30/2025,N/A
N/A,Davidson,"6012  HICKORY VALLEY  RD, NASHVILLE, TN","$1,500,000",12/30/2025,N/A
N/A,Davidson,"4043  OUTER  DR, NASHVILLE, TN","$1,000,000",12/30/2025,N/A
N/A,Davidson,"1920  ADELICIA  ST, NASHVILLE, TN","$324,000",12/30/2025,N/A
N/A,Davidson,"2015  LINDEN  AVE, NASHVILLE, TN","$1,372,500",12/30/2025,N/A
N/A,Davidson,"4043  OUTER  DR, NASHVILLE, TN","$1,000,000",12/30/2025,N/A
N/A,Davidson,"252  SUMMIT RIDGE  DR, NASHVILLE, TN","$310,000",12/30/2025,N/A
N/A,Davidson,"3093  HARPETH SPRINGS  DR, NASHVILLE, TN","$204,000",12/30/2025,N/A
N/A,Davidson,"2958  PRIMROSE  CIR, NASHVILLE, TN","$750,000",12/30/2025,N/A
N/A,Davidson,"810  BELLEVUE  RD, NASHVILLE, TN","$195,900",12/30/2025,N/A
N/A,Davidson,"204  LAUDERDALE  RD, NASHVILLE, TN","$875,000",12/30/2025,N/A
N/A,Davidson,"303  LAUDERDALE  RD, NASHVILLE, TN","$795,000",12/30/2025,N/A
N/A,Davidson,"6025   HILL  CIR, NASHVILLE, TN","$230,000",12/30/2025,N/A
N/A,Davidson,"4707  UTAH  AVE, NASHVILLE, TN","$1,025,000",12/30/2025,N/A
N/A,Davidson,"109  BEECH BEND  CT, NASHVILLE, TN","$350,000",12/30/2025,N/A
N/A,Davidson,"1512  KIRKWOOD  AVE, NASHVILLE, TN","$785,000",12/30/2025,N/A
N/A,Davidson,"110  STONEWAY CLOSE, NASHVILLE, TN","$550,000",12/30/2025,N/A
N/A,Davidson,"607  45TH  AVE N, NASHVILLE, TN","$623,450",12/23/2025,N/A
N/A,Davidson,"5824  ROBERTSON  AVE, NASHVILLE, TN","$755,000",12/23/2025,N/A
N/A,Davidson,"4407   ILLINOIS  AVE, NASHVILLE, TN","$785,000",12/29/2025,N/A
N/A,Davidson,"1026  COLLEGE  AVE, NASHVILLE, TN","$565,000",12/29/2025,N/A
N/A,Davidson,"5600   LOUISIANA  AVE, NASHVILLE, TN","$999,900",12/29/2025,N/A
N/A,Davidson,"3013   BATAVIA  ST, NASHVILLE, TN","$574,900",12/29/2025,N/A
